Date,Discharge
2019-01-01,405.57065
2019-01-02,396.00244
2019-01-03,384.48917
2019-01-04,379.89844
2019-01-05,384.41696
2019-01-06,385.6518
2019-01-07,390.13205
2019-01-08,395.9605
2019-01-09,393.13593
2019-01-10,388.70416
2019-01-11,391.38046
2019-01-12,403.18564
2019-01-13,411.5515
2019-01-14,422.8273
2019-01-15,434.9364
2019-01-16,437.70383
2019-01-17,438.01266
2019-01-18,444.43137
2019-01-19,458.8545
2019-01-20,468.61252
2019-01-21,479.98166
2019-01-22,490.84357
2019-01-23,491.01456
2019-01-24,487.40317
2019-01-25,488.6374
2019-01-26,496.7045
2019-01-27,499.05875
2019-01-28,502.12836
2019-01-29,503.9714
2019-01-30,494.6005
2019-01-31,481.1352
2019-02-01,472.42343
2019-02-02,470.67566
2019-02-03,463.56622
2019-02-04,457.7345
2019-02-05,451.4347
2019-02-06,434.85556
2019-02-07,415.26758
2019-02-08,401.6408
2019-02-09,396.27533
2019-02-10,386.9006
2019-02-11,380.17545
2019-02-12,374.33768
2019-02-13,359.52457
2019-02-14,342.92227
2019-02-15,333.38644
2019-02-16,333.07648
2019-02-17,329.55994
2019-02-18,329.31714
2019-02-19,330.39703
2019-02-20,322.7435
2019-02-21,313.35065
2019-02-22,310.8897
2019-02-23,317.34888
2019-02-24,320.14276
2019-02-25,325.62173
2019-02-26,331.7314
2019-02-27,328.3418
2019-02-28,322.4046
2019-03-01,322.5805
2019-03-02,330.879
2019-03-03,334.7663
2019-03-04,340.67212
2019-03-05,346.64584
2019-03-06,342.6814
2019-03-07,335.86957
2019-03-08,335.01974
2019-03-09,342.2941
2019-03-10,345.30905
2019-03-11,350.63663
2019-03-12,356.45462
2019-03-13,352.86642
2019-03-14,347.04843
2019-03-15,347.86844
2019-03-16,357.5166
2019-03-17,363.6055
2019-03-18,372.67053
2019-03-19,382.82077
2019-03-20,384.06036
2019-03-21,383.43918
2019-03-22,389.67462
2019-03-23,404.7877
2019-03-24,416.2086
2019-03-25,430.28345
2019-03-26,444.93198
2019-03-27,449.97528
2019-03-28,452.29376
2019-03-29,460.45535
2019-03-30,476.3576
2019-03-31,487.3387
2019-04-01,499.68863
2019-04-02,511.30988
2019-04-03,512.0479
2019-04-04,508.84943
2019-04-05,510.39017
2019-04-06,518.7149
2019-04-07,521.3452
2019-04-08,524.7857
2019-04-09,527.1791
2019-04-10,518.6296
2019-04-11,506.3534
2019-04-12,499.29825
2019-04-13,499.7747
2019-04-14,495.55484
2019-04-15,493.37042
2019-04-16,491.55957
2019-04-17,480.38278
2019-04-18,467.16727
2019-04-19,460.92136
2019-04-20,463.9623
2019-04-21,464.01294
2019-04-22,467.6995
2019-04-23,473.1998
2019-04-24,470.56277
2019-04-25,466.85764
2019-04-26,470.79507
2019-04-27,484.3631
2019-04-28,494.9331
2019-04-29,508.7683
2019-04-30,523.6827
2019-05-01,529.37244
2019-05-02,532.5761
2019-05-03,541.70776
2019-05-04,558.50256
2019-05-05,570.1331
2019-05-06,582.72546
2019-05-07,594.02496
2019-05-08,593.7321
2019-05-09,588.6655
2019-05-10,587.3949
2019-05-11,591.88525
2019-05-12,589.6082
2019-05-13,587.0518
2019-05-14,582.37744
2019-05-15,565.7449
2019-05-16,544.46295
2019-05-17,527.60846
2019-05-18,517.6558
2019-05-19,502.573
2019-05-20,489.31543
2019-05-21,476.468
2019-05-22,454.55548
2019-05-23,431.1802
2019-05-24,415.62918
2019-05-25,410.49432
2019-05-26,403.7613
2019-05-27,402.29926
2019-05-28,404.50146
2019-05-29,400.5972
2019-05-30,397.79434
2019-05-31,404.89465
2019-06-01,423.92474
2019-06-02,442.2389
2019-06-03,466.02487
2019-06-04,492.96304
2019-06-05,512.5584
2019-06-06,531.3043
2019-06-07,557.3197
2019-06-08,592.0019
2019-06-09,622.15063
2019-06-10,653.49426
2019-06-11,683.36664
2019-06-12,701.0556
2019-06-13,712.97906
2019-06-14,727.3324
2019-06-15,745.7467
2019-06-16,755.41473
2019-06-17,762.6147
2019-06-18,765.3802
2019-06-19,753.8375
2019-06-20,735.36664
2019-06-21,719.2291
2019-06-22,708.20374
2019-06-23,690.68616
2019-06-24,674.18463
2019-06-25,657.9591
2019-06-26,633.3276
2019-06-27,608.7943
2019-06-28,594.64667
2019-06-29,594.55975
2019-06-30,597.66815
2019-07-01,612.035
2019-07-02,637.2695
2019-07-03,664.814
2019-07-04,703.05994
2019-07-05,761.9343
2019-07-06,844.50287
2019-07-07,939.0433
2019-07-08,1052.5232
2019-07-09,1183.2316
2019-07-10,1321.0854
2019-07-11,1472.7703
2019-07-12,1646.3566
2019-07-13,1842.9366
2019-07-14,2048.7346
2019-07-15,2268.6245
2019-07-16,2498.8035
2019-07-17,2727.1414
2019-07-18,2958.3638
2019-07-19,3198.7095
2019-07-20,3447.6082
2019-07-21,3689.8267
2019-07-22,3929.0212
2019-07-23,4160.438
2019-07-24,4371.288
2019-07-25,4565.945
2019-07-26,4750.6196
2019-07-27,4925.0366
2019-07-28,5074.5854
2019-07-29,5203.8574
2019-07-30,5309.34
2019-07-31,5379.7617
2019-08-01,5421.272
2019-08-02,5442.077
2019-08-03,5444.085
2019-08-04,5415.0107
2019-08-05,5361.8774
2019-08-06,5283.6587
2019-08-07,5171.582
2019-08-08,5034.261
2019-08-09,4882.2856
2019-08-10,4719.824
2019-08-11,4536.689
2019-08-12,4341.802
2019-08-13,4135.8
2019-08-14,3911.3186
2019-08-15,3678.0967
2019-08-16,3447.5537
2019-08-17,3224.3828
2019-08-18,2998.6133
2019-08-19,2779.0781
2019-08-20,2566.032
2019-08-21,2351.4475
2019-08-22,2144.1404
2019-08-23,1954.3748
2019-08-24,1785.4836
2019-08-25,1625.9652
2019-08-26,1482.9851
2019-08-27,1355.0322
2019-08-28,1232.2528
2019-08-29,1121.6139
2019-08-30,1031.5454
2019-08-31,963.59625
2019-09-01,904.56396
2019-09-02,860.0265
2019-09-03,827.02545
2019-09-04,794.4208
2019-09-05,768.0738
2019-09-06,755.50073
2019-09-07,757.53784
2019-09-08,760.4742
2019-09-09,769.5817
2019-09-10,781.7925
2019-09-11,786.04333
2019-09-12,788.44495
2019-09-13,796.9175
2019-09-14,812.8366
2019-09-15,823.143
2019-09-16,833.8499
2019-09-17,842.6954
2019-09-18,839.4622
2019-09-19,831.12286
2019-09-20,826.4526
2019-09-21,827.6528
2019-09-22,822.44244
2019-09-23,817.54724
2019-09-24,811.33875
2019-09-25,794.1425
2019-09-26,773.37524
2019-09-27,758.1532
2019-09-28,750.9138
2019-09-29,739.5087
2019-09-30,730.6974
2019-10-01,722.7931
2019-10-02,705.9803
2019-10-03,687.46313
2019-10-04,676.0864
2019-10-05,673.9709
2019-10-06,668.6203
2019-10-07,666.43
2019-10-08,665.3463
2019-10-09,655.19806
2019-10-10,642.8569
2019-10-11,636.8689
2019-10-12,639.1003
2019-10-13,636.85077
2019-10-14,636.3677
2019-10-15,635.50916
2019-10-16,624.07635
2019-10-17,608.9731
2019-10-18,598.83466
2019-10-19,595.6686
2019-10-20,586.96234
2019-10-21,579.1895
2019-10-22,570.46484
2019-10-23,550.86694
2019-10-24,527.58844
2019-10-25,509.55518
2019-10-26,499.0572
2019-10-27,483.84775
2019-10-28,470.64136
2019-10-29,457.76144
2019-10-30,435.45715
2019-10-31,411.04895
2019-11-01,393.54477
2019-11-02,385.26932
2019-11-03,373.9627
2019-11-04,366.2804
2019-11-05,360.443
2019-11-06,346.5576
2019-11-07,331.76804
2019-11-08,324.87726
2019-11-09,327.98312
2019-11-10,328.58432
2019-11-11,333.08734
2019-11-12,339.46378
2019-11-13,337.57858
2019-11-14,334.34695
2019-11-15,338.36246
2019-11-16,351.53812
2019-11-17,361.21637
2019-11-18,373.67892
2019-11-19,386.80652
2019-11-20,390.4076
2019-11-21,391.37506
2019-11-22,398.31323
2019-11-23,413.1764
2019-11-24,423.3759
2019-11-25,435.28598
2019-11-26,446.89905
2019-11-27,448.14975
2019-11-28,446.06662
2019-11-29,449.3939
2019-11-30,460.22546
2019-12-01,466.1069
2019-12-02,473.53784
2019-12-03,480.6231
2019-12-04,477.39435
2019-12-05,470.9595
2019-12-06,470.12347
2019-12-07,477.02133
2019-12-08,479.22125
2019-12-09,483.22772
2019-12-10,487.13452
2019-12-11,480.94904
2019-12-12,471.74435
2019-12-13,468.28348
2019-12-14,472.65604
2019-12-15,472.38452
2019-12-16,473.93112
2019-12-17,475.35397
2019-12-18,466.63412
2019-12-19,454.8303
2019-12-20,448.70453
2019-12-21,450.36026
2019-12-22,447.3489
2019-12-23,446.17642
2019-12-24,444.9584
2019-12-25,433.7454
2019-12-26,419.67538
